productType,productType_fr,productType_de,description,description_fr,description_de,defaultUnit,usualExpiryCheckDays,id,functionOfPeople,functionOfDays,recommendedQtyDayAdult,multiplier
Mineral water,Eau minérale,Mineralwasser,"1.5 liter bottles, for drinking and cooking!","Bouteilles de 1,5 litre, pour boire et cuisiner !","1,5-Liter-Flaschen, zum Trinken und Kochen!",1.5l bottle,180,1,yes,yes,3,2
Other drinks,Autres boissons,Andere Getränke,"Fruit and vegetable juices, 1 liter sweetened drinks","Jus de fruits et légumes, boissons sucrées de 1 litre","Obst- und Gemüsesäfte, 1-Liter-Süßgetränke",1l bottle,60,2,yes,yes,0.25,0.25
Tea,Thé,Tee,approx. 100 g,environ 100 g,ca. 100 g,100 g,365,3,yes,yes,10,0.1
Coffee,Café,Kaffee,1 kg,1 kg,1 kg,1000g,365,4,yes,yes,0.03,0.00003
Milk or milk alternative,Lait ou alternative au lait,Milch oder Milchalternative,1 liter,1 litre,1 Liter,1l,30,5,yes,yes,0.5,0.5
Vegetables,Légumes,Gemüse,"Canned vegetables e.g. (corn, tomatoes, mushrooms, peas and carrots) (approx. 300 g)","Légumes en conserve (maïs, tomates, champignons, petits pois et carottes) (environ 300 g)","Dosengemüse z.B. (Mais, Tomaten, Pilze, Erbsen und Karotten) (ca. 300 g)",300g cans,180,6,yes,yes,400,1.33
Fruits,Fruits,Obst,"Apple sauce, canned pineapple or dried fruit, e.g. (approx. 300 g)","Compote de pommes, ananas en conserve ou fruits secs (environ 300 g)","Apfelmus, Ananas aus der Dose oder Trockenfrüchte, z.B. (ca. 300 g)",300g cans,180,7,yes,yes,300,1
Sauces,Sauces,Saucen,"Tomato sauce, pesto, ketchup, mayonnaise, mustard, e.g. (approx. 200 g)","Sauce tomate, pesto, ketchup, mayonnaise, moutarde (environ 200 g)","Tomatensauce, Pesto, Ketchup, Mayonnaise, Senf, z.B. (ca. 200 g)",200g containers,180,8,yes,yes,50,0.25
Soups,Soupes,Suppen,"Bouillon cubes, ready-to-eat and freeze-dried soups with tomatoes, vermicelli, e.g. (approx. 200 g)","Cubes de bouillon, soupes prêtes à manger et lyophilisées avec tomates, vermicelles (environ 200 g)","Bouillonwürfel, verzehrfertige und gefriergetrocknete Suppen mit Tomaten, Fadennudeln, z.B. (ca. 200 g)",200g packs,180,9,yes,yes,200,1
Cereals,Céréales,Getreide,"Pasta, rice, rice cakes, muesli, e.g., or gluten-free alternative (approx. 500 g)","Pâtes, riz, galettes de riz, muesli ou alternative sans gluten (environ 500 g)","Nudeln, Reis, Reiswaffeln, Müsli, z.B. oder glutenfreie Alternative (ca. 500 g)",500g boxes,180,10,yes,yes,220,0.44
Ready meals,Plats préparés,Fertiggerichte,"Ready-to-eat risotto, rösti, e.g. (approx. 250 g)","Risotto prêt à manger, rösti (environ 250 g)","Verzehrfertiges Risotto, Rösti, z.B. (ca. 250 g)",250g packs,180,11,yes,yes,50,0.2
Legumes,Légumineuses,Hülsenfrüchte,"Chickpeas, beans in tomato sauce, canned or dried lentils, e.g. (approx. 400 g)","Pois chiches, haricots à la sauce tomate, lentilles en conserve ou séchées (environ 400 g)","Kichererbsen, Bohnen in Tomatensauce, Linsen in Dosen oder getrocknet, z.B. (ca. 400 g)",400g cans,180,12,yes,yes,150,0.375
Meat,Viande,Fleisch,"Dried meat, cured ham, salami, canned Italian cheese (approx. 100 g)","Viande séchée, jambon cru, salami, fromage italien en conserve (environ 100 g)","Trockenfleisch, Rohschinken, Salami, italienischer Käse in Dosen (ca. 100 g)",100g packs,30,13,yes,yes,30,0.3
Fish,Poisson,Fisch,"Canned sardines, tuna (approx. 100 g)","Sardines en conserve, thon (environ 100 g)","Sardinen in Dosen, Thunfisch (ca. 100 g)",100g cans,60,14,yes,yes,30,0.3
Dairy products,Produits laitiers,Milchprodukte,Hard cheeses (approx. 300 g),Fromages à pâte dure (environ 300 g),Hartkäse (ca. 300 g),300g packs,30,15,yes,yes,120,0.4
Nuts,Noix,Nüsse,"Cashews, almonds, hazelnuts (approx. 200 g)","Noix de cajou, amandes, noisettes (environ 200 g)","Cashewnüsse, Mandeln, Haselnüsse (ca. 200 g)",200g packs,120,16,yes,yes,30,0.15
Oil,Huile,Öl,"Olive oil, rapeseed oil (approx. 1 L)","Huile d'olive, huile de colza (environ 1 L)","Olivenöl, Rapsöl (ca. 1 L)",1l,365,17,yes,yes,0.04,0.0002
Spices,Épices,Gewürze,"Salt, pepper, sugar, sweetener","Sel, poivre, sucre, édulcorant","Salz, Pfeffer, Zucker, Süßstoff",packs,365,18,no,yes,1,0.033
Snacks,Collations,Snacks,"Cereal bars, sweet foods, chocolate","Barres de céréales, sucreries, chocolat","Müsliriegel, Süßigkeiten, Schokolade",packs,30,19,yes,yes,40,1.33
Body care,Soins corporels,Körperpflege,"Soap, shampoo, deodorant, toothpaste","Savon, shampooing, déodorant, dentifrice","Seife, Shampoo, Deodorant, Zahnpasta",bottles,180,20,yes,yes,0.05,0.05
Sanitary products,Produits hygiéniques,Hygieneprodukte,"Panty liners, tampons, sanitary pads","Protège-slips, tampons, serviettes hygiéniques","Slipeinlagen, Tampons, Damenbinden",packs,180,21,yes,yes,0.05,0.05
Toilet paper,Papier toilette,Toilettenpapier,Packs,Paquets,Packungen,rolls,365,22,yes,yes,0.05,0.05
Tissues,Mouchoirs,Taschentücher,Packs,Paquets,Packungen,Multi-packs,365,23,yes,yes,0.05,0.05
Cleaning products,Produits de nettoyage,Reinigungsmittel,,,,bottles,365,24,yes,yes,0.05,0.05
Masks,Masques,Masken,,,,pieces,365,25,yes,yes,2,2
Hand sanitizer,Désinfectant pour les mains,Handdesinfektionsmittel,Approx. 100 ml,Environ 100 ml,Ca. 100 ml,100ml bottle,365,26,yes,yes,0.05,0.05
Garbage bags,Sacs poubelle,Müllbeutel,,,,packs,365,27,no,yes,1,1
Candles,Bougies,Kerzen,,,,pieces,365,28,no,yes,2,2
Flashlight,Lampe de poche,Taschenlampe,,,,pieces,365,29,no,no,1,1
Gas stove,Réchaud à gaz,Gaskocher,,,,pieces,365,30,no,no,1,1
Spare batteries,Piles de rechange,Ersatzbatterien,"Packs AA, AAA","Paquets AA, AAA","Packungen AA, AAA",pieces,365,31,no,yes,2,2
Battery or solar radio,Radio à piles ou solaire,Batterie- oder Solarradio,,,,pieces,365,32,no,no,1,1
Matches or lighters,Allumettes ou briquets,Streichhölzer oder Feuerzeuge,,,,pieces or packs,365,33,no,yes,2,2
Medical thermometer,Thermomètre médical,Medizinisches Thermometer,,,,pieces,365,34,no,no,1,1
Can opener,Ouvre-boîte,Dosenöffner,,,,pieces,365,35,no,no,1,1
Pocket knife,Couteau de poche,Taschenmesser,Swiss knifes or similar,,Schweizer Messer oder ähnliches,pieces,365,36,no,no,1,1
